SessionID,Episode,ObjectiveControl,UnitCountDiff,ResourceDiff
session_20250326_204905,0,0,1,-50
session_20250326_204905,1,0,0,0
session_20250326_204905,2,0,0,100
session_20250326_204905,3,0,0,0
session_20250326_204905,4,0,1,-50
session_20250326_204905,5,0,1,-150
session_20250326_204905,6,0,1,-50
session_20250326_204905,7,0,0,0
session_20250326_204905,8,0,1,-200
session_20250326_204905,9,0,1,-300
session_20250326_204905,10,0,1,-200
session_20250326_204905,11,0,1,-300
session_20250326_204905,12,0,2,-500
session_20250326_204905,13,0,2,-600
session_20250326_204905,14,0,2,-500
session_20250326_204905,15,0,2,-600
session_20250326_204905,16,0,2,-500
session_20250326_204905,17,0,2,-600
session_20250326_204905,18,0,2,-500
session_20250326_204905,19,0,2,-600
session_20250326_204905,20,0,2,-500
session_20250326_204905,21,0,2,-600
session_20250326_204905,22,0,2,-800
session_20250326_204905,23,0,2,-900
session_20250326_204905,24,0,3,-1000
session_20250326_204905,25,0,2,-800
session_20250326_204905,26,0,2,-600
session_20250326_204905,27,0,2,-700
session_20250326_204905,28,0,2,-500
session_20250326_204905,29,0,2,-600
session_20250326_204905,30,0,2,-400
session_20250326_204905,31,0,2,-500
session_20250326_204905,32,1,2,-300
session_20250326_204905,33,2,2,-400
session_20250326_204905,34,3,3,-1000
session_20250326_204905,35,4,3,-1100
session_20250326_204905,36,5,3,-775
session_20250326_204905,37,6,3,-875
session_20250326_204905,38,7,3,-550
session_20250326_204905,39,8,3,-650
session_20250326_204905,40,0,1,-50
session_20250326_204905,41,0,0,0
session_20250326_204905,42,0,0,100
session_20250326_204905,43,0,0,0
session_20250326_204905,44,0,1,-50
session_20250326_204905,45,0,0,0
session_20250326_204905,46,0,0,100
session_20250326_204905,47,0,0,0
session_20250326_204905,48,0,1,-200
session_20250326_204905,49,0,1,-300
session_20250326_204905,50,0,1,-200
session_20250326_204905,51,0,1,-300
session_20250326_204905,52,0,2,-500
session_20250326_204905,53,0,2,-600
session_20250326_204905,54,0,2,-500
session_20250326_204905,55,0,2,-600
session_20250326_204905,56,0,2,-500
session_20250326_204905,57,0,2,-600
session_20250326_204905,58,0,2,-500
session_20250326_204905,59,0,2,-600
session_20250326_204905,60,0,2,-500
session_20250326_204905,61,0,2,-600
session_20250326_204905,62,0,2,-500
session_20250326_204905,63,0,2,-600
session_20250326_204905,64,0,2,-500
session_20250326_204905,65,0,2,-600
session_20250326_204905,66,0,2,-500
session_20250326_204905,67,0,2,-600
session_20250326_204905,68,0,2,-500
session_20250326_204905,69,0,2,-600
session_20250326_204905,70,0,2,-500
session_20250326_204905,71,0,2,-600
session_20250326_204905,72,1,2,-500
session_20250326_204905,73,2,1,-300
session_20250326_204905,74,3,1,-200
session_20250326_204905,75,4,1,-300
session_20250326_204905,76,5,2,-200
session_20250326_204905,77,6,2,-300
session_20250326_204905,78,7,2,-200
session_20250326_204905,79,8,2,-300
session_20250326_204905,80,0,1,-50
session_20250326_204905,81,0,0,0
session_20250326_204905,82,0,0,100
session_20250326_204905,83,0,0,0
session_20250326_204905,84,0,1,-50
session_20250326_204905,85,0,0,0
session_20250326_204905,86,0,0,100
session_20250326_204905,87,0,0,0
session_20250326_204905,88,0,1,-200
session_20250326_204905,89,0,1,-300
session_20250326_204905,90,0,1,-200
session_20250326_204905,91,0,1,-300
session_20250326_204905,92,0,2,-500
session_20250326_204905,93,0,2,-600
session_20250326_204905,94,0,2,-500
session_20250326_204905,95,0,2,-600
session_20250326_204905,96,0,2,-500
session_20250326_204905,97,0,2,-600
session_20250326_204905,98,0,2,-500
session_20250326_204905,99,0,2,-600
session_20250326_204905,100,0,2,-500
session_20250326_204905,101,0,2,-600
session_20250326_204905,102,0,2,-500
session_20250326_204905,103,0,2,-600
session_20250326_204905,104,1,2,-500
session_20250326_204905,105,2,2,-600
session_20250326_204905,106,3,2,-500
session_20250326_204905,107,4,1,-300
session_20250326_204905,108,5,1,-200
session_20250326_204905,109,6,1,-300
session_20250326_204905,110,7,1,-200
session_20250326_204905,111,8,1,-300
session_20250326_204905,112,0,1,-50
session_20250326_204905,113,0,0,0
session_20250326_204905,114,0,0,100
session_20250326_204905,115,0,0,0
session_20250326_204905,116,0,1,-50
session_20250326_204905,117,0,0,0
session_20250326_204905,118,0,0,100
session_20250326_204905,119,0,0,0
session_20250326_204905,120,0,1,-200
session_20250326_204905,121,0,1,-300
session_20250326_204905,122,0,1,-200
session_20250326_204905,123,0,1,-300
session_20250326_204905,124,0,2,-500
session_20250326_204905,125,0,2,-600
session_20250326_204905,126,0,2,-500
session_20250326_204905,127,0,2,-600
session_20250326_204905,128,0,2,-500
session_20250326_204905,129,0,2,-600
session_20250326_204905,130,0,2,-500
session_20250326_204905,131,0,2,-600
session_20250326_204905,132,0,2,-500
session_20250326_204905,133,0,2,-600
session_20250326_204905,134,0,2,-800
session_20250326_204905,135,0,2,-900
session_20250326_204905,136,1,3,-1000
session_20250326_204905,137,2,3,-1100
session_20250326_204905,138,3,3,-900
session_20250326_204905,139,4,2,-700
session_20250326_204905,140,5,2,-500
session_20250326_204905,141,6,2,-600
session_20250326_204905,142,7,2,-400
session_20250326_204905,143,8,2,-500
session_20250326_204905,144,0,1,-50
session_20250326_204905,145,0,0,0
session_20250326_204905,146,0,0,100
session_20250326_204905,147,0,0,0
session_20250326_204905,148,0,1,-50
session_20250326_204905,149,0,0,0
session_20250326_204905,150,0,0,100
session_20250326_204905,151,0,0,0
session_20250326_204905,152,0,1,-200
session_20250326_204905,153,0,1,-300
session_20250326_204905,154,0,1,-200
session_20250326_204905,155,0,0,0
session_20250326_204905,156,0,1,-200
session_20250326_204905,157,0,1,-300
session_20250326_204905,158,0,1,-200
session_20250326_204905,159,0,1,-300
session_20250326_204905,160,0,1,-200
session_20250326_204905,161,0,1,-300
session_20250326_204905,162,0,1,-200
session_20250326_204905,163,0,1,-300
session_20250326_204905,164,0,1,-200
session_20250326_204905,165,0,1,-300
session_20250326_204905,166,0,1,-200
session_20250326_204905,167,0,1,-300
session_20250326_204905,168,1,1,-200
session_20250326_204905,169,2,1,-300
session_20250326_204905,170,3,1,-200
session_20250326_204905,171,4,1,-300
session_20250326_204905,172,5,1,-200
session_20250326_204905,173,6,1,-300
session_20250326_204905,174,7,1,-200
session_20250326_204905,175,8,1,-300
session_20250326_204905,176,0,1,-50
session_20250326_204905,177,0,0,0
session_20250326_204905,178,0,0,100
session_20250326_204905,179,0,0,0
session_20250326_204905,180,0,1,-50
session_20250326_204905,181,0,0,0
session_20250326_204905,182,0,0,100
session_20250326_204905,183,0,0,0
session_20250326_204905,184,0,1,-200
session_20250326_204905,185,0,0,0
session_20250326_204905,186,0,0,100
session_20250326_204905,187,0,0,0
session_20250326_204905,188,0,1,-200
session_20250326_204905,189,0,1,-300
session_20250326_204905,190,0,1,-200
session_20250326_204905,191,0,1,-300
session_20250326_204905,192,0,1,-200
session_20250326_204905,193,0,1,-300
session_20250326_204905,194,0,1,-200
session_20250326_204905,195,0,1,-300
session_20250326_204905,196,0,1,-200
session_20250326_204905,197,0,1,-300
session_20250326_204905,198,0,1,-500
session_20250326_204905,199,0,1,-600
session_20250326_204905,200,0,2,-700
session_20250326_204905,201,0,2,-800
session_20250326_204905,202,0,2,-600
session_20250326_204905,203,0,2,-700
session_20250326_204905,204,0,3,-800
session_20250326_204905,205,0,3,-900
session_20250326_204905,206,0,3,-700
session_20250326_204905,207,0,3,-800
session_20250326_204905,208,0,3,-600
session_20250326_204905,209,0,3,-700
session_20250326_204905,210,0,3,-1000
session_20250326_204905,211,0,3,-1100
session_20250326_204905,212,0,4,-1075
session_20250326_204905,213,0,4,-1175
session_20250326_204905,214,0,5,-850
session_20250326_204905,215,0,5,-950
session_20250326_204905,216,1,6,-925
session_20250326_204905,217,2,6,-1025
session_20250326_204905,218,3,6,-700
session_20250326_204905,219,4,6,-800
session_20250326_204905,220,5,6,-475
session_20250326_204905,221,6,6,-575
session_20250326_204905,222,7,6,-1250
session_20250326_204905,223,8,6,-1350
session_20250326_204905,224,0,1,-50
session_20250326_204905,225,0,0,0
session_20250326_204905,226,0,0,100
session_20250326_204905,227,0,0,0
session_20250326_204905,228,0,1,-50
session_20250326_204905,229,0,0,0
session_20250326_204905,230,0,0,100
session_20250326_204905,231,0,0,0
session_20250326_204905,232,0,1,-200
session_20250326_204905,233,0,1,-300
session_20250326_204905,234,0,1,-200
session_20250326_204905,235,0,1,-300
session_20250326_204905,236,0,2,-500
session_20250326_204905,237,0,2,-600
session_20250326_204905,238,0,2,-500
session_20250326_204905,239,0,2,-600
session_20250326_204905,240,0,2,-500
session_20250326_204905,241,0,2,-600
session_20250326_204905,242,0,2,-500
session_20250326_204905,243,0,2,-600
session_20250326_204905,244,0,2,-500
session_20250326_204905,245,0,2,-600
session_20250326_204905,246,0,2,-500
session_20250326_204905,247,0,1,-300
session_20250326_204905,248,0,1,-200
session_20250326_204905,249,0,1,-300
session_20250326_204905,250,0,1,-200
session_20250326_204905,251,0,1,-300
session_20250326_204905,252,0,1,-200
session_20250326_204905,253,0,1,-300
session_20250326_204905,254,0,1,-200
session_20250326_204905,255,0,1,-300
session_20250326_204905,256,1,1,-200
session_20250326_204905,257,2,1,-300
session_20250326_204905,258,3,1,-200
session_20250326_204905,259,4,1,-300
session_20250326_204905,260,5,1,-200
session_20250326_204905,261,6,0,-300
session_20250326_204905,262,7,1,-200
session_20250326_204905,263,8,1,-300
session_20250326_204905,264,0,1,-50
session_20250326_204905,265,0,0,0
session_20250326_204905,266,0,0,100
session_20250326_204905,267,0,0,0
session_20250326_204905,268,0,1,-50
session_20250326_204905,269,0,0,0
session_20250326_204905,270,0,0,100
session_20250326_204905,271,0,0,0
session_20250326_204905,272,0,1,-200
session_20250326_204905,273,0,1,-300
session_20250326_204905,274,0,1,-200
session_20250326_204905,275,0,1,-300
session_20250326_204905,276,0,2,-500
session_20250326_204905,277,0,2,-600
session_20250326_204905,278,0,2,-500
session_20250326_204905,279,0,2,-600
session_20250326_204905,280,0,2,-500
session_20250326_204905,281,0,2,-600
session_20250326_204905,282,0,2,-500
session_20250326_204905,283,0,2,-600
session_20250326_204905,284,0,2,-500
session_20250326_204905,285,0,1,-300
session_20250326_204905,286,0,1,-200
session_20250326_204905,287,0,1,-300
session_20250326_204905,288,0,1,-200
session_20250326_204905,289,0,1,-300
session_20250326_204905,290,0,1,-200
session_20250326_204905,291,0,1,-300
session_20250326_204905,292,0,1,-200
session_20250326_204905,293,0,1,-300
session_20250326_204905,294,0,1,-200
session_20250326_204905,295,0,1,-300
session_20250326_204905,296,1,1,-200
session_20250326_204905,297,2,1,-300
session_20250326_204905,298,3,1,-200
session_20250326_204905,299,4,1,-300
session_20250326_204905,300,5,1,-200
session_20250326_204905,301,6,1,-300
session_20250326_204905,302,7,2,-200
session_20250326_204905,303,8,2,-300
session_20250326_204905,304,0,1,-50
session_20250326_204905,305,0,0,0
session_20250326_204905,306,0,0,100
session_20250326_204905,307,0,0,0
session_20250326_204905,308,0,1,-50
session_20250326_204905,309,0,0,0
session_20250326_204905,310,0,0,100
session_20250326_204905,311,0,0,0
session_20250326_204905,312,0,1,-200
session_20250326_204905,313,0,1,-300
session_20250326_204905,314,0,1,-200
session_20250326_204905,315,0,1,-300
session_20250326_204905,316,0,2,-500
session_20250326_204905,317,0,2,-600
session_20250326_204905,318,0,2,-500
session_20250326_204905,319,0,2,-600
session_20250326_204905,320,0,2,-500
session_20250326_204905,321,0,2,-600
session_20250326_204905,322,0,2,-500
session_20250326_204905,323,0,2,-600
session_20250326_204905,324,0,2,-500
session_20250326_204905,325,0,2,-600
session_20250326_204905,326,0,2,-800
session_20250326_204905,327,0,2,-900
