SessionID,ActionType,ActionName,Count,TotalReward,AverageReward
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,47,10.00,0.21
session_20250326_204905,2,Attack,3,0.00,0.00
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,16,3796.00,237.25
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,89,38.00,0.43
session_20250326_204905,2,Attack,6,4.00,0.67
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,27,6414.00,237.56
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,137,49.00,0.36
session_20250326_204905,2,Attack,6,4.00,0.67
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,41,9752.00,237.85
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,168,51.00,0.30
session_20250326_204905,2,Attack,6,4.00,0.67
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,53,12634.00,238.38
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,214,71.00,0.33
session_20250326_204905,2,Attack,8,4.00,0.50
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,65,15646.00,240.71
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,244,91.00,0.37
session_20250326_204905,2,Attack,10,4.00,0.40
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,77,18526.00,240.60
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,270,106.00,0.39
session_20250326_204905,2,Attack,11,4.00,0.36
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,87,20948.00,240.78
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,315,125.00,0.40
session_20250326_204905,2,Attack,14,6.00,0.43
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,101,24352.00,241.11
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,346,140.00,0.40
session_20250326_204905,2,Attack,17,6.00,0.35
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,110,26512.00,241.02
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,389,169.00,0.43
session_20250326_204905,2,Attack,21,10.00,0.48
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,121,29196.00,241.29
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,439,206.00,0.47
session_20250326_204905,2,Attack,21,10.00,0.48
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,138,33188.00,240.49
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
